#{"t_start": 1789749554.3418007, "env_id": "None"}
r,l,t
-203.176755,67,55.219029
-191.513898,63,55.876847
-210.297376,70,56.643773
-193.640628,58,57.237132
-210.082218,85,58.21575
-213.006454,67,59.026888
-225.862075,86,60.00702
-300.273146,195,62.387097
-251.839854,146,63.992513
-218.983459,90,65.030313
-206.916589,63,65.71461
-291.599601,178,67.705067
-218.840656,105,68.844672
-206.150195,71,69.64904
-220.936557,74,70.442595
-239.500933,92,71.48693
-205.060617,72,72.257172
-206.408334,57,72.850793
-207.840769,78,73.738664
-215.965755,118,75.096806
-195.289942,47,75.600619
-208.275233,62,76.287122
-201.963383,62,77.019324
-211.676152,85,77.923802
-192.905466,39,78.337949
-201.903323,89,79.41715
-196.064731,60,80.148849
-207.673582,76,81.00719
-200.070987,77,81.907069
-202.033883,58,82.567205
-186.418492,57,83.288977
-200.606958,65,84.024296
-201.538023,59,84.721875
-191.274248,67,85.469388
-195.642806,64,86.16744
-195.662254,60,86.876776
-195.448233,55,87.482899
-189.200731,51,88.044806
-200.590573,52,88.559491
-211.48729,77,89.457153
-192.743549,50,90.00806
-201.929755,49,90.582962
-205.061099,73,91.506966
-204.803273,60,92.187025
-199.788679,58,92.818422
-198.593257,50,93.40125
-203.146527,66,94.177234
-193.242237,50,94.72071
-191.234703,62,95.433724
-191.882244,65,96.131306
-191.844909,66,96.956698
-201.896867,38,97.407626
-201.195656,55,98.057247
-202.72244,55,98.644939
-193.549449,53,99.249501
-199.836155,66,99.957219
-204.427026,83,101.020689
-193.839962,55,101.637147
-193.176801,48,102.22124
-203.25485,68,102.997166
-202.133551,58,103.723418
-206.628439,65,104.447103
-199.549553,67,105.220073
-200.223201,46,105.691208
-190.76396,61,106.405427
-203.70607,64,107.099161
-196.617718,58,107.796262
-193.522136,60,108.486158
-197.201119,49,109.006192
-229.043341,114,110.286447
-214.981324,101,111.478387
-195.867961,58,112.092972
-199.098959,69,112.90456
-191.218352,45,113.358248
-216.941899,103,114.557378
-189.911162,57,115.220182
-213.167656,70,116.026755
-209.605534,107,117.191768
-195.408114,59,117.912154
-200.847585,73,118.625266
-269.100817,171,120.498496
-217.652605,134,121.996755
-223.732323,82,122.878305
-239.030421,176,124.836467
-198.893126,68,125.556194
-224.352354,131,126.998186
-213.385295,109,128.218156
-249.77258,143,129.70616
-226.328855,133,131.144354
-240.744808,120,132.350253
-264.974218,251,135.208159
-317.257233,310,138.576124
-213.211552,107,139.822258
-194.799889,86,140.772973
-275.30634,253,143.516292
-259.382206,148,145.249215
-210.915706,132,146.764688
-245.151055,133,148.490539
-207.072845,92,149.781024
-274.003523,270,153.027806
-238.524574,155,154.71815
-259.607031,206,157.101648
-225.399597,124,158.526898
-199.695523,90,159.458593
-211.688458,94,160.496792
-230.219983,158,162.257055
-205.703364,121,163.558259
-271.059663,178,165.566779
-234.662427,129,167.136721
-201.756967,92,168.138672
-199.960179,79,169.04062
-210.847066,107,170.226788
-191.267323,60,170.876796
-228.543692,159,172.696727
-196.880852,72,173.499236
-203.63995,64,174.176854
-229.912428,168,176.091668
-202.594262,91,177.1567
-232.205223,190,179.259078
-205.289257,81,180.224546
-221.436935,125,181.586648
-193.075124,72,182.388208
-212.336943,105,183.528512
-188.124871,71,184.253747
-202.745033,82,185.158396
-194.714824,66,185.906833
-208.669415,86,186.82992
-227.303608,141,188.450374
-251.278768,168,190.403299
-213.604043,113,191.731451
-194.556354,60,192.401313
-204.293826,86,193.336092
-205.901146,92,194.296817
-201.171459,80,195.223037
-192.048742,69,196.066266
-210.717414,108,197.302288
-188.781187,55,197.931184
-210.163258,123,199.376213
-204.237354,93,200.430219
-200.545121,77,201.297145
-189.292876,73,202.12665
-197.613054,76,202.978017
-205.812495,111,204.258531
-202.264642,84,205.200663
-189.708357,64,205.999831
-203.231883,89,207.065793
-198.006832,66,207.775705
-180.737024,59,208.44717
-246.804945,163,210.219076
-183.554494,53,210.825863
-195.281513,88,211.799232
-187.753401,54,212.435956
-190.82539,65,213.125914
-201.796604,93,214.260918
-197.180748,83,215.181161
-210.667224,96,216.297138
-186.788332,62,216.995784
-212.128534,120,218.378952
-203.833734,113,219.61463
-194.361734,66,220.325876
-189.645455,71,221.179407
-192.247398,76,222.015826
-196.684,81,222.89005
-190.814278,74,223.71581
-178.594623,46,224.248713
-179.386372,50,224.855753
-196.872089,62,225.53559
-189.545003,51,226.140886
-199.472943,106,227.369125
-212.344644,72,228.17644
-191.827977,71,228.978993
-193.096149,58,229.642721
-198.622501,77,230.571281
-181.301371,49,231.186148
-188.821484,64,231.917889
-186.741496,76,232.774071
-195.393534,75,233.69374
-192.693237,72,234.584866
-192.469115,60,235.299927
-190.559246,63,235.996498
-228.606749,174,237.98716
-201.093462,110,239.300909
-191.996729,57,239.970803
-215.343053,111,241.119668
-185.185074,42,241.550311
-186.695623,53,242.102629
-201.18109,89,243.119191
-206.531809,89,244.113259
-195.430312,68,244.815435
-206.668864,122,246.189887
-197.937616,75,247.035834
-193.41745,70,247.785349
-190.570222,62,248.44403
-195.609892,72,249.20967
-195.831925,87,250.114312
-189.722381,59,250.748783
-206.342592,86,251.749515
-204.847981,99,252.799773
-193.726162,66,253.489974
-202.816146,86,254.508841
-200.613487,93,255.568352
-189.770405,58,256.264584
-192.011549,83,257.199879
-204.162135,92,258.14159
-193.154137,77,258.980653
-202.405038,99,260.083652
-181.437144,55,260.647367
-194.724474,63,261.353576
-188.938239,68,262.152732
-188.087032,77,263.022979
-186.484141,54,263.649702
-197.810251,64,264.356672
-199.343904,75,265.281604
-193.657457,65,266.158678
-196.558999,59,266.982689
-180.315042,41,267.546655
-210.120679,118,269.105626
-184.437425,63,269.949363
-188.886064,66,270.680977
-198.753413,78,271.539928
-186.995786,57,272.251988
-179.374831,55,272.898333
-180.493888,51,273.452329
-176.483169,43,273.926627
-200.519011,86,274.836163
-200.483914,80,275.70428
-189.835685,79,276.548383
-194.820591,54,277.12714
-197.710395,92,278.124257
-210.174936,93,279.155735
-212.373438,126,280.555459
-187.13489,73,281.30474
-190.948634,61,281.974265
-196.686176,78,282.909405
-210.884407,101,284.001383
-191.843149,74,284.832904
-189.629992,64,285.562686
-197.106749,91,286.716571
-193.652989,63,287.558529
-196.327728,68,288.396091
-181.229355,47,288.979261
-176.755121,44,289.519348
-191.459297,66,290.329189
-189.071577,54,291.030773
-207.726695,120,292.411414
-188.416862,68,293.179559
-189.618831,67,293.981172
-196.213616,101,295.077784
-181.46029,59,295.744034
-196.14787,72,296.588999
-190.811428,60,297.273105
-191.285958,53,297.939723
-198.027915,79,298.841833
-186.115924,63,299.491967
-188.736812,73,300.320544
-207.691973,88,301.335437
-192.74014,56,302.028691
-182.729529,52,302.585779
-222.474149,137,304.085541
-190.623529,65,304.80723
-198.290585,85,305.812209
-248.493145,164,307.76374
-182.616971,60,308.425268
-190.144649,53,308.995711
-191.447131,62,309.705622
-191.922396,71,310.59535
-186.28186,59,311.235769
-210.160287,124,312.585496
-189.619117,65,313.29049
-188.305908,61,313.93522
-180.244476,49,314.49769
-190.479613,61,315.285384
-189.273832,65,316.021103
-208.360042,92,316.949039
-198.160531,83,317.895529
-192.336484,57,318.545278
-187.098583,69,319.409091
-218.013846,134,320.918227
-193.136386,84,321.936298
-189.88639,59,322.563474
-241.424179,158,324.411975
-185.555599,65,325.126923
-194.353199,74,326.015567
-192.165986,70,326.885707
-203.476373,103,328.057905
-225.298363,117,329.307653
-244.54389,150,330.928506
-189.396873,67,331.715644
-199.252463,76,332.615655
-203.858066,87,333.66069
-224.331587,119,334.965618
-190.67514,59,335.616294
-198.107307,76,336.531223
-204.723333,111,337.841155
-191.775602,79,338.808615
-257.336349,168,340.769919
-189.35413,54,341.299388
-181.394868,54,341.915713
-182.297481,45,342.429942
-201.433103,71,343.190779
-218.402842,102,344.29578
-187.111751,54,344.945555
-193.008766,70,345.825831
-230.281965,162,347.876335
-183.66443,55,348.590957
-223.207726,143,350.230904
-211.491787,139,352.086344
-317.105392,307,355.480624
-196.167916,70,356.258006
-217.437955,103,357.37045
-195.136981,74,358.251253
-176.647704,42,358.838567
-203.511167,80,359.795081
-262.414068,230,362.617419
-214.33368,84,363.666237
-194.582196,89,364.769062
-191.513466,64,365.545381
-186.935488,70,366.37247
-193.376936,51,366.961329
-203.638127,84,367.933988
-365.475274,391,372.578693
-375.640204,397,377.439376
-189.556522,63,378.084838
-206.041982,105,379.367996
-190.223986,65,380.188591
-187.244033,53,380.807438
-183.95713,71,381.603378
-191.560167,54,382.190066
-368.596797,457,387.331803
-200.276688,70,388.156373
-196.511534,94,389.202469
-190.77981,81,390.295354
-231.183265,166,392.23249
-185.329246,63,392.897443
-200.108425,116,394.170197
-200.205272,72,394.949451
-185.326978,54,395.605258
-176.359845,39,396.075255
-189.026404,58,396.755438
-187.030499,65,397.49565
-194.686942,67,398.32542
-191.061894,66,399.137259
-188.48611,79,399.990394
-206.476717,92,401.079644
-185.125289,64,401.755173
-217.415702,114,402.969564
-219.347236,117,404.315932
-192.260787,59,404.985434
-203.418671,76,405.836918
-188.551267,62,406.565083
-187.667876,57,407.181769
-194.555132,55,407.815842
-208.71546,123,409.206451
-180.047201,42,409.719914
-187.986908,58,410.311804
-213.531878,76,411.125812
-188.970502,78,412.085352
-190.312156,67,412.817346
-192.313159,77,413.681476
-206.182309,87,414.644984
-172.156008,45,415.104875
-200.847001,73,415.915015
-186.124745,57,416.534976
-195.377046,65,417.224827
-179.731579,42,417.719748
-234.520657,177,419.596846
-182.880683,63,420.249586
-203.617821,96,421.297827
-193.263002,86,422.214967
-196.711865,78,423.079616
-201.123349,68,423.854606
-189.456838,73,424.689122
-219.196482,130,426.089429
-193.29839,81,426.947469
-198.392791,85,427.871813
-193.317151,60,428.507478
-213.423292,90,429.494871
-191.067754,76,430.390317
-197.336622,82,431.255336
-180.635212,41,431.675278
-208.891683,73,432.403778
-205.42469,85,433.365361
-194.512343,90,434.397082
-185.16126,58,435.039426
-179.256924,50,435.585284
-213.336975,117,436.920234
-177.339528,47,437.447741
-219.104993,500,442.975313
-188.122357,64,443.737989
-190.277495,59,444.452932
-206.6768,87,445.495245
-194.946211,66,446.265162
-188.250127,67,446.980528
-211.4599,113,448.266319
-186.496346,49,448.779539
-205.041411,102,450.045668
-210.043317,500,455.504838
-198.622378,76,456.306922
-192.004,67,457.042103
-203.626429,92,458.089545
-189.361361,62,458.815095
-206.267622,80,459.649147
-205.38144,84,460.546822
-211.983711,104,461.665066
-184.811862,56,462.364741
-193.058376,77,463.355051
-209.687586,86,464.404381
