test_id,initial_angle_deg,initial_omega_rad_s,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
1,-10.0,-0.3,500,5.0,0.18624258041381836,9.014459647005424e-05,10.0,0.780048131942749,4.304695129394531,0.03190040588378906,0.1862423039972782,0.1862429678440094,-8.624320092909718,False,True,True,True
2,-10.0,-0.15,500,5.0,0.18624232709407806,9.068677172763273e-05,10.0,0.7813044786453247,3.7905235290527344,0.03189659118652344,0.18624224230647088,0.18624283373355865,-8.56315230412776,False,True,True,True
3,-10.0,0.0,500,5.0,0.18624244630336761,9.02437896002084e-05,10.0,0.7827050089836121,3.2945327758789062,0.03190040588378906,0.18624223962426187,0.1862427443265915,-8.502322420346822,False,True,True,True
4,-10.0,0.15,500,5.0,0.18624210357666016,9.010473149828613e-05,10.0,0.7844783663749695,2.844867706298828,0.03190040588378906,0.1862422353029251,0.1862427145242691,-8.438873385408893,False,True,True,True
5,-10.0,0.3,500,5.0,0.18624219298362732,9.005614992929623e-05,10.0,0.7772595286369324,2.4076690673828125,0.03190040588378906,0.18624218434095383,0.186242938041687,-8.372555155073165,False,True,True,True
6,-5.0,-0.3,500,5.0,0.18624210357666016,9.175119339488447e-05,5.0,0.7833108305931091,3.815847396850586,0.03189659118652344,0.18624224811792373,0.1862426996231079,-3.3095734779681862,False,True,True,True
7,-5.0,-0.15,500,5.0,0.1862422674894333,9.158993634628132e-05,5.0,0.7846210598945618,3.3540992736816406,0.03189659118652344,0.1862422424554825,0.1862427443265915,-3.2722452766414976,False,True,True,True
8,-5.0,0.0,500,5.0,0.18624213337898254,9.071365639101714e-05,5.0,0.7790277004241943,2.901224136352539,0.03189659118652344,0.1862422800064087,0.18624287843704224,-3.234214693315724,False,True,True,True
9,-5.0,0.15,500,5.0,0.18624238669872284,9.035017865244299e-05,5.0,0.7744953632354736,2.4459800720214844,0.03190040588378906,0.18624217331409454,0.1862426996231079,-3.1968051906524555,False,True,True,True
10,-5.0,0.3,500,5.0,0.1862422525882721,9.103558113565668e-05,5.0,0.7758128046989441,1.988250732421875,0.03189659118652344,0.18624228328466416,0.18624277412891388,-3.160452643669183,False,True,True,True
11,0.0,-0.3,500,5.0,0.18624204397201538,9.111477993428707e-05,0.1862429529428482,0.09712138026952744,1.1266727447509766,0.031894683837890625,0.18624230086803437,0.1862427443265915,-0.06815822251620914,False,True,True,True
12,0.0,-0.15,500,5.0,0.18624210357666016,9.086857608053833e-05,0.18624278903007507,0.08075755834579468,0.6692447662353516,0.03189659118652344,0.1862421928346157,0.18624278903007507,-0.06354902770257882,False,True,True,True
13,0.0,0.0,500,5.0,0.1862422227859497,9.019488788908347e-05,0.1862429678440094,0.07221400737762451,0.2154998779296875,0.03190040588378906,0.18624219089746474,0.18624281883239746,-0.06019446607052646,False,True,True,True
14,0.0,0.15,500,5.0,0.18624219298362732,9.081194730242714e-05,0.18624301254749298,0.07257488369941711,0.23839187622070312,0.03189659118652344,0.1862421926856041,0.1862426996231079,-0.05805613232024047,False,True,True,True
15,0.0,0.3,500,5.0,0.18624219298362732,9.170485282083973e-05,0.186242938041687,0.07298944145441055,0.6921234130859375,0.03189659118652344,0.18624217242002486,0.1862427145242691,-0.05713888252096294,False,True,True,True
16,5.0,-0.3,500,5.0,0.18624204397201538,9.020465950015932e-05,5.0,0.32742440700531006,0.9233894348144531,0.03190040588378906,0.18624217733740805,0.18624278903007507,-1.8607591726765715,False,True,True,True
17,5.0,-0.15,500,5.0,0.18624171614646912,9.042474994203076e-05,5.0,0.32571691274642944,1.3616352081298828,0.03189659118652344,0.18624230742454528,0.18624284863471985,-1.890329887442009,False,True,True,True
18,5.0,0.0,500,5.0,0.1862415224313736,9.085818601306528e-05,5.0,0.3262890875339508,1.7978343963623047,0.03189659118652344,0.18624220073223113,0.18624268472194672,-1.921098206036726,False,True,True,True
19,5.0,0.15,500,5.0,0.18624214828014374,9.139742178376764e-05,5.0,0.32686474919319153,2.234750747680664,0.03189659118652344,0.1862422037124634,0.1862427294254303,-1.9530251500851519,False,True,True,True
20,5.0,0.3,500,5.0,0.18624262511730194,9.109354141401127e-05,5.0,0.32741478085517883,2.6682052612304688,0.03189659118652344,0.18624230295419694,0.18624284863471985,-1.9862188745320708,False,True,True,True
21,10.0,-0.3,500,5.0,0.18624277412891388,9.058581053977832e-05,10.0,0.600501537322998,2.594533920288086,0.03190040588378906,0.18624232932925225,0.1862429529428482,-7.2665269578134515,False,True,True,True
22,10.0,-0.15,500,5.0,0.18624261021614075,9.033663081936538e-05,10.0,0.6100706458091736,3.017171859741211,0.03190040588378906,0.1862422403693199,0.18624277412891388,-7.32961700267516,False,True,True,True
23,10.0,0.0,500,5.0,0.18624219298362732,9.160098852589726e-05,10.0,0.6184918284416199,3.418222427368164,0.03189659118652344,0.186242253780365,0.18624264001846313,-7.39237865958581,False,True,True,True
24,10.0,0.15,500,5.0,0.18624207377433777,9.035000402946025e-05,10.0,0.6257345080375671,3.797769546508789,0.03190040588378906,0.18624217689037323,0.18624264001846313,-7.45860251364621,False,True,True,True
25,10.0,0.3,500,5.0,0.1862417459487915,9.139894973486662e-05,10.0,0.6305996775627136,4.133970260620117,0.031894683837890625,0.18624227553606032,0.1862429529428482,-7.531362006510388,False,True,True,True
